scrapeDatetime,url,price,addressline1,addressline2,po,mls,bedrooms,totalbedrooms,bathrooms,propertyType,BuildingType,storeys,communityName,title,landSize,Builtin,parkingType,publishTime,PriceHistory,totalFinishedArea,appliancesIncluded,foundationType,style,architectureStyle,basementType,po4,po3,CAGR
"03/18/2022, 08:34:42",https://www.realtor.ca/real-estate/24149545/79-collingwood-court-dartmouth-dartmouth,399900,79 Collingwood Court,"Dartmouth, Nova Scotia B2W0G4",B2W0G4,MLS  Number: 202204363,3,3,3,Single Family,Row / Townhouse,2,Dartmouth,Freehold,under 1/2 acre,2010,Garage,1 day,"Jun 30, 2017 Sold $269,900",1815,"Stove, Dishwasher, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,,,,B2W0,B2W,0.081806792
"03/18/2022, 16:33:56",https://www.realtor.ca/real-estate/24149010/301-89-pebblecreek-crescent-dartmouth-dartmouth,329900,301 89 Pebblecreek Crescent,"Dartmouth, Nova Scotia B2W0K6",B2W0K6,MLS  Number: 202204349,2,2,1,Single Family,Apartment,1,Dartmouth,Condominium/Strata,under 1/2 acre,2012,"Garage, Underground",2 days,,986,Intercom,Poured Concrete,,,Full,B2W0,B2W,0
"03/19/2022, 12:51:25",https://www.realtor.ca/real-estate/24148121/25-sunset-drive-kingston-kingston,165000,25 Sunset Drive,"Kingston, Nova Scotia B0P1R0",B0P1R0,MLS  Number: 202204305,3,4,2,Single Family,House,2,Kingston,Freehold,under 1/2 acre,1995,,3 days,"Sep 13, 2013 Sold $112,100",1400,"Stove, Dryer, Washer, Microwave, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Semi-detached,3 Level,Full (Partially finished),B0P1,B0P,0.04388618
"03/19/2022, 12:54:32",https://www.realtor.ca/real-estate/24148124/31-panorama-lane-bedford-bedford,339000,31 Panorama Lane,"Bedford, Nova Scotia B4A1P3",B4A1P3,MLS  Number: 202204308,3,3,2,Single Family,House,2,Bedford,Freehold,under 1/2 acre,1980,,3 days,,1470,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Semi-detached,,,B4A1,B4A,0
"03/19/2022, 13:16:19",https://www.realtor.ca/real-estate/24144862/52-highway-14-robinsons-corner-robinsons-corner,750000,52 Highway 14,"Robinsons Corner, Nova Scotia B0J1J0",B0J1J0,MLS  Number: 202204264,3,4,3,Single Family,House,2,Robinsons Corner,Freehold,under 1/2 acre,2020,"Garage, Detached Garage",3 days,,3120,"Cooktop - Electric, Oven, Dishwasher, Dryer, Washer, Microwave, Refrigerator, Water softener",Poured Concrete,Detached,,,B0J1,B0J,0
"03/19/2022, 13:32:21",https://www.realtor.ca/real-estate/24144861/335-macdonald-street-new-glasgow-new-glasgow,214500,335 Macdonald Street,"New Glasgow, Nova Scotia B2H2V2",B2H2V2,MLS  Number: 202204263,3,3,2,Single Family,House,2,New Glasgow,Freehold,under 1/2 acre,,Gravel,3 days,,1199,"Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator","Poured Concrete, Stone, Wood",Detached,,Partial,B2H2,B2H,0
"03/19/2022, 13:33:27",https://www.realtor.ca/real-estate/24144545/88-poplar-street-stellarton-stellarton,290000,88 Poplar Street,"Stellarton, Nova Scotia B2H4H1",B2H4H1,MLS  Number: 202204253,3,5,2,Single Family,House,1,Stellarton,Freehold,1/2 - 1 acre,1986,,3 days,"Jun 24, 2010 Sold $159,900",1521,"Cooktop, Oven, Range, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,,B2H4,B2H,0.050862258
"03/19/2022, 13:41:00",https://www.realtor.ca/real-estate/24144162/3495-clam-harbour-road-clam-harbour-clam-harbour,59900,3495 Clam Harbour Road,"Clam Harbour, Nova Scotia B0J2L0",B0J2L0,MLS  Number: 202204245,3,3,1,Single Family,House,2,Clam Harbour,Freehold,1 - 3 acres,,"Garage, Detached Garage, Gravel",4 days,,1568,None,"Poured Concrete, Stone",Detached,,Crawl space,B0J2,B0J,0
"03/19/2022, 13:46:01",https://www.realtor.ca/real-estate/24142915/1110-60-walter-havill-drive-armdale-armdale,434900,1110 60 Walter Havill Drive,"Armdale, Nova Scotia B3N0A9",B3N0A9,MLS  Number: 202204218,2,2,2,Single Family,Apartment,1,Armdale,Condominium/Strata,under 1/2 acre,,"Garage, Underground, Parking Space(s)",4 days,,1326,"Stove, Dishwasher, Dryer - Electric, Washer, Microwave Range Hood Combo, Refrigerator, Intercom",Poured Concrete,,,None,B3N0,B3N,0
"03/18/2022, 21:08:05",https://www.realtor.ca/real-estate/24140890/136-silver-point-road-martins-river-martins-river,450000,136 Silver Point Road,"Martins River, Nova Scotia B0J2E0",B0J2E0,MLS  Number: 202204192,3,3,1,Single Family,House,2,Martins River,Freehold,1/2 - 1 acre,1962,"Garage, Attached Garage, Detached Garage, Gravel",4 days,,1640,"Oven - Electric, Range - Electric, Dryer - Electric, Washer, Refrigerator",Stone,Detached,,Crawl space,B0J2,B0J,0
