price,bedrooms,totalbedrooms,bathrooms,propertyType,BuildingType,storeys,communityName,title,landSize,Builtin,parkingType,totalFinishedArea,appliancesIncluded,foundationType,style,architectureStyle,basementType,po4,po3
399900,3,3,3,Single Family,Row / Townhouse,2,Dartmouth,Freehold,under 1/2 acre,2010.0,Garage,1815.0,"Stove, Dishwasher, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,,,,B2W0,B2W
329900,2,2,1,Single Family,Apartment,1,Dartmouth,Condominium/Strata,under 1/2 acre,2012.0,"Garage, Underground",986.0,Intercom,Poured Concrete,,,Full,B2W0,B2W
165000,3,4,2,Single Family,House,2,Kingston,Freehold,under 1/2 acre,1995.0,,1400.0,"Stove, Dryer, Washer, Microwave, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Semi-detached,3 Level,Full (Partially finished),B0P1,B0P
339000,3,3,2,Single Family,House,2,Bedford,Freehold,under 1/2 acre,1980.0,,1470.0,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Semi-detached,,,B4A1,B4A
750000,3,4,3,Single Family,House,2,Robinsons Corner,Freehold,under 1/2 acre,2020.0,"Garage, Detached Garage",3120.0,"Cooktop - Electric, Oven, Dishwasher, Dryer, Washer, Microwave, Refrigerator, Water softener",Poured Concrete,Detached,,,B0J1,B0J
214500,3,3,2,Single Family,House,2,New Glasgow,Freehold,under 1/2 acre,,Gravel,1199.0,"Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator","Poured Concrete, Stone, Wood",Detached,,Partial,B2H2,B2H
290000,3,5,2,Single Family,House,1,Stellarton,Freehold,1/2 - 1 acre,1986.0,,1521.0,"Cooktop, Oven, Range, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,,B2H4,B2H
59900,3,3,1,Single Family,House,2,Clam Harbour,Freehold,1 - 3 acres,,"Garage, Detached Garage, Gravel",1568.0,None,"Poured Concrete, Stone",Detached,,Crawl space,B0J2,B0J
434900,2,2,2,Single Family,Apartment,1,Armdale,Condominium/Strata,under 1/2 acre,,"Garage, Underground, Parking Space(s)",1326.0,"Stove, Dishwasher, Dryer - Electric, Washer, Microwave Range Hood Combo, Refrigerator, Intercom",Poured Concrete,,,None,B3N0,B3N
450000,3,3,1,Single Family,House,2,Martins River,Freehold,1/2 - 1 acre,1962.0,"Garage, Attached Garage, Detached Garage, Gravel",1640.0,"Oven - Electric, Range - Electric, Dryer - Electric, Washer, Refrigerator",Stone,Detached,,Crawl space,B0J2,B0J
419900,2,3,3,Single Family,House,1,New Glasgow,Freehold,under 1/2 acre,2007.0,,2700.0,"Range - Electric, Dishwasher, Dryer, Washer, Garburator, Refrigerator",Poured Concrete,Detached,Character,,B2H0,B2H
775000,3,4,4,Single Family,House,2,Hammonds Plains,Freehold,1/2 - 1 acre,,"Garage, Attached Garage",2900.0,"Range - Electric, Dishwasher, Dryer - Electric, Washer, Microwave, Refrigerator",Poured Concrete,Detached,,Full (Finished),B3Z0,B3Z
819900,4,4,4,Single Family,House,2,Bedford,Freehold,under 1/2 acre,2005.0,"Garage, Attached Garage",3116.0,"Oven - Electric, Range - Electric, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Detached,,,B4A4,B4A
345000,3,3,1,Single Family,House,1,Porters Lake,Freehold,under 1/2 acre,1982.0,Gravel,1653.0,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,Character,Full (Partially finished),B3R1,B3R
279900,0,3,2,Single Family,House,1,Eastern Passage,Freehold,under 1/2 acre,2002.0,,1440.0,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Semi-detached,,,B3G1,B3G
329900,2,2,1,Single Family,House,1,Cookville,Freehold,1 - 3 acres,2002.0,Gravel,1060.0,"Stove, Dryer, Washer, Refrigerator",,Detached,,None,B4V7,B4V
279000,2,2,1,Single Family,House,1,Dartmouth,Freehold,under 1/2 acre,,,815.0,"Stove, Refrigerator",Concrete Block,Detached,Character,Full (Unfinished),B3A1,B3A
185000,2,2,1,Single Family,House,2,Nictaux,Freehold,under 1/2 acre,1932.0,Gravel,920.0,"Range - Electric, Dishwasher, Washer/Dryer Combo, Refrigerator",Poured Concrete,Detached,5 Level,,B0S1,B0S
139900,2,2,1,Single Family,Mobile Home,1,Cleveland,Freehold,under 1/2 acre,,,704.0,"Stove, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",,,,None,B0E1,B0E
299900,3,3,2,Single Family,House,1,New Glasgow,Freehold,under 1/2 acre,1971.0,,1483.0,,Poured Concrete,Detached,Character,Full (Partially finished),B2H1,B2H
489900,3,4,4,Single Family,House,2,Spryfield,Freehold,under 1/2 acre,2018.0,,2261.0,"Oven - Electric, Dishwasher, Dryer - Electric, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Semi-detached,3 Level,Full (Finished),B3R0,B3R
425000,3,4,3,Single Family,House,2,Halifax,Freehold,under 1/2 acre,1993.0,Gravel,2000.0,"Oven - Electric, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Semi-detached,,Full (Finished),B3N0,B3N
549900,3,4,4,Single Family,House,2,Halifax,Freehold,under 1/2 acre,,,2204.0,"Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,Semi-detached,,Full (Finished),B3R1,B3R
279900,3,3,2,Single Family,House,1,Lower Sackville,Freehold,under 1/2 acre,,,1048.0,"Stove, Dryer, Washer, Refrigerator",Poured Concrete,Detached,Character,Full (Partially finished),B4C1,B4C
359900,2,3,2,Single Family,House,1,Little Harbour,Freehold,1/2 - 1 acre,1983.0,"Garage, Gravel",2460.0,Central Vacuum,Poured Concrete,Detached,Character,,B0J2,B0J
525000,2,4,4,Single Family,House,2,Kentville,Freehold,1 - 3 acres,1990.0,"Garage, Attached Garage",3681.0,"Central Vacuum, Stove, Dishwasher, Dryer, Washer, Freezer - Chest, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Detached,3 Level,Full (Finished),B4N4,B4N
349900,4,4,3,Single Family,House,2,Berwick,Freehold,under 1/2 acre,,"Garage, Attached Garage",1934.0,,Poured Concrete,Detached,4 Level,,B0P1,B0P
375000,3,3,2,Single Family,Apartment,1,Halifax,Condominium/Strata,under 1/2 acre,,"Garage, Underground",1300.0,"Stove, Dishwasher, Refrigerator",Poured Concrete,,,None,B3H1,B3H
595000,3,3,2,Single Family,House,2,Waverley,Freehold,1/2 - 1 acre,1999.0,"Garage, Gravel",1741.0,"Oven, Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full (Unfinished),B2R1,B2R
374900,3,4,2,Single Family,House,1,Nictaux,Freehold,under 1/2 acre,1993.0,"Garage, Detached Garage",2400.0,"Dishwasher, Microwave Range Hood Combo, Water softener",Poured Concrete,Detached,,,B0S1,B0S
249900,3,3,2,Single Family,House,2,Dartmouth,Freehold,under 1/2 acre,1983.0,,1794.0,"Oven, Range, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,Semi-detached,,Full (Finished),B2W5,B2W
650000,5,5,2,Single Family,Duplex,2,North End,Freehold,under 1/2 acre,1922.0,"Garage, Detached Garage",2393.0,"Oven - Electric, Dishwasher, Dryer - Electric, Washer, Refrigerator",Poured Concrete,,,Full (Finished),B3K3,B3K
949900,2,2,2,Single Family,House,2,Halifax,Freehold,under 1/2 acre,1951.0,,2357.0,"Gas stove(s), Dishwasher, Dryer, Washer, Freezer, Refrigerator",Poured Concrete,Detached,,Full (Partially finished),B3P1,B3P
380000,3,5,3,Single Family,House,1,Greenwood,Freehold,1/2 - 1 acre,1994.0,,2430.0,"Dishwasher, Central Vacuum",Poured Concrete,Detached,,"Full, Partial",B0P1,B0P
324900,3,3,3,Single Family,House,2,New Glasgow,Freehold,under 1/2 acre,,Gravel,2496.0,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full (Partially finished),B2H4,B2H
525000,3,3,2,Single Family,House,3,Dartmouth,Freehold,under 1/2 acre,1980.0,,2402.0,,Poured Concrete,Detached,,Crawl space,B2X2,B2X
450000,3,3,2,Single Family,House,1,Dartmouth,Freehold,under 1/2 acre,1986.0,"Garage, Attached Garage",1996.0,"Range - Electric, Dishwasher, Dryer, Washer, Refrigerator, Central Vacuum",Poured Concrete,Detached,,Full (Finished),B2X3,B2X
399900,6,6,2,Single Family,Duplex,2,Halifax,Freehold,under 1/2 acre,,"Garage, Attached Garage",2390.0,,Poured Concrete,Up and down,,Crawl space,B3N2,B3N
350000,3,3,4,Single Family,House,2,Enfield,Freehold,under 1/2 acre,2020.0,"Garage, Attached Garage",1886.0,"Stove, Dryer, Washer, Refrigerator",Poured Concrete,Semi-detached,2 Level,,B2T0,B2T
329000,3,4,2,Single Family,House,1,Lower Sackville,Freehold,under 1/2 acre,1964.0,,1810.0,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,2 Level,,B4C1,B4C
439900,3,4,3,Single Family,House,2,Middle Sackville,Freehold,under 1/2 acre,2005.0,"Garage, Attached Garage",2189.0,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,,B4E3,B4E
294900,2,2,2,Single Family,Apartment,1,Rockingham,Condominium/Strata,under 1/2 acre,1986.0,,1033.0,"Oven, Range, Dryer, Washer, Microwave, Refrigerator",Concrete Slab,,,None,B3M3,B3M
599900,3,5,4,Single Family,House,2,Bedford,Freehold,under 1/2 acre,2003.0,"Garage, Attached Garage",3100.0,"Cooktop - Propane, Oven - Electric, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,Detached,,,B4A4,B4A
489900,2,3,1,Single Family,House,1,Dartmouth,Freehold,under 1/2 acre,1991.0,,1834.0,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Concrete Block,Detached,,,B2V1,B2V
349000,3,3,2,Single Family,Apartment,3,Halifax,Condominium/Strata,under 1/2 acre,1919.0,Gravel,1029.0,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,,3 Level,Unknown,B3H1,B3H
399900,2,2,1,Single Family,House,2,Eastern Passage,Freehold,under 1/2 acre,1960.0,,1050.0,"Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",,Detached,,Full,B3G1,B3G
499900,3,3,4,Single Family,House,2,Halifax,Freehold,under 1/2 acre,2012.0,,1937.0,"Stove, Dishwasher, Dryer - Electric, Washer, Refrigerator",Poured Concrete,Detached,,,B3R0,B3R
379000,2,3,3,Single Family,House,1,Shubenacadie,Freehold,1 - 3 acres,,Gravel,2528.0,"Oven - Propane, Range - Gas, Dishwasher, Washer, Refrigerator, Gas stove(s)",Poured Concrete,Detached,Character,Full,B0N2,B0N
399000,4,4,1,Single Family,House,1,Addington Forks,Freehold,1 - 3 acres,,"Garage, Detached Garage",1159.0,"Range, Dishwasher, Dryer, Washer, Refrigerator",,Detached,,None,B2G2,B2G
189000,3,3,2,Single Family,Mobile Home,1,Scotsburn,Freehold,3 - 10 acres,2019.0,Gravel,1088.0,"Oven, Dishwasher, Dryer, Washer, Refrigerator",,,Mini,None,B0K1,B0K
649999,6,6,3,Single Family,House,3,Lawrencetown,Freehold,1 - 3 acres,,"Garage, Detached Garage",3820.0,,Stone,Detached,,Full (Unfinished),B0S1,B0S
240000,3,3,2,Single Family,House,1,Kingston,Freehold,1/2 - 1 acre,1996.0,,1753.0,"Stove, Dryer, Washer, Microwave Range Hood Combo, Fridge/Stove Combo",Poured Concrete,Detached,Character,Full (Partially finished),B0P1,B0P
